dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,sinus_arrhythmia,temperature_scaled,0.2,0.30000000000000004,221,0.2443562556206225,0.004524886877828055
chapman_test,sinus_arrhythmia,temperature_scaled,0.30000000000000004,0.4,263,0.35890752905139683,0.0076045627376425855
chapman_test,sinus_arrhythmia,temperature_scaled,0.4,0.5,708,0.45390778027107836,0.00847457627118644
chapman_test,sinus_arrhythmia,temperature_scaled,0.5,0.6000000000000001,845,0.5482024030650494,0.054437869822485205
chapman_test,sinus_arrhythmia,temperature_scaled,0.6000000000000001,0.7000000000000001,629,0.6441259458586767,0.12241653418124006
chapman_test,sinus_arrhythmia,temperature_scaled,0.7000000000000001,0.8,237,0.7395934320192061,0.23628691983122363
chapman_test,sinus_arrhythmia,temperature_scaled,0.8,0.9,69,0.8425287535303694,0.7246376811594203
chapman_test,sinus_arrhythmia,temperature_scaled,0.9,1.0,16,0.9185871703328234,0.875
ptbxl_external,sinus_arrhythmia,raw,0.0,0.1,277,0.014354677008844765,0.0
ptbxl_external,sinus_arrhythmia,raw,0.1,0.2,47,0.1487143849148936,0.0
ptbxl_external,sinus_arrhythmia,raw,0.2,0.30000000000000004,66,0.25379004878787875,0.0
ptbxl_external,sinus_arrhythmia,raw,0.30000000000000004,0.4,83,0.3496186996385542,0.0
ptbxl_external,sinus_arrhythmia,raw,0.4,0.5,124,0.4576685366129033,0.016129032258064516
ptbxl_external,sinus_arrhythmia,raw,0.5,0.6000000000000001,249,0.5536637197188754,0.020080321285140562
ptbxl_external,sinus_arrhythmia,raw,0.6000000000000001,0.7000000000000001,333,0.6526082318018017,0.04804804804804805
ptbxl_external,sinus_arrhythmia,raw,0.7000000000000001,0.8,376,0.753463987393617,0.04521276595744681
ptbxl_external,sinus_arrhythmia,raw,0.8,0.9,473,0.8519302849260042,0.046511627906976744
ptbxl_external,sinus_arrhythmia,raw,0.9,1.0,170,0.9337731372941176,0.08823529411764706
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.0,0.1,148,0.05821723783788117,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.1,0.2,93,0.14342721124751287,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.2,0.30000000000000004,45,0.24966874933586627,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.30000000000000004,0.4,86,0.35812346609098905,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.4,0.5,225,0.4584307748943891,0.008888888888888889
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.5,0.6000000000000001,650,0.5526745674226975,0.03538461538461538
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.6000000000000001,0.7000000000000001,684,0.6482022792215045,0.049707602339181284
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.7000000000000001,0.8,240,0.7303997778422885,0.05416666666666667
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.8,0.9,27,0.827691709525089,0.18518518518518517
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.9,1.0,0,,
chapman_test,atrial_fibrillation,raw,0.0,0.1,3154,0.009593079056502854,0.0
chapman_test,atrial_fibrillation,raw,0.1,0.2,80,0.14297174915,0.0
chapman_test,atrial_fibrillation,raw,0.2,0.30000000000000004,62,0.2457791385483871,0.0
chapman_test,atrial_fibrillation,raw,0.30000000000000004,0.4,34,0.34825780382352944,0.029411764705882353
chapman_test,atrial_fibrillation,raw,0.4,0.5,24,0.45222522958333333,0.0
chapman_test,atrial_fibrillation,raw,0.5,0.6000000000000001,29,0.5396699048275861,0.0
chapman_test,atrial_fibrillation,raw,0.6000000000000001,0.7000000000000001,42,0.658040573095238,0.047619047619047616
chapman_test,atrial_fibrillation,raw,0.7000000000000001,0.8,109,0.7588099844954129,0.06422018348623854
chapman_test,atrial_fibrillation,raw,0.8,0.9,634,0.8656189635331231,0.19558359621451105
chapman_test,atrial_fibrillation,raw,0.9,1.0,169,0.9115569717159765,0.2603550295857988
chapman_test,atrial_fibrillation,temperature_scaled,0.0,0.1,2691,0.04672725024411482,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.1,0.2,406,0.13733737594172066,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.2,0.30000000000000004,118,0.24140915138421587,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.30000000000000004,0.4,90,0.34831397673711,0.0
chapman_test,atrial_fibrillation,temperature_scaled,0.4,0.5,49,0.44831333721292943,0.02040816326530612
chapman_test,atrial_fibrillation,temperature_scaled,0.5,0.6000000000000001,58,0.5501411811552125,0.017241379310344827
chapman_test,atrial_fibrillation,temperature_scaled,0.6000000000000001,0.7000000000000001,191,0.6613062249456639,0.08376963350785341
chapman_test,atrial_fibrillation,temperature_scaled,0.7000000000000001,0.8,727,0.7465800913139156,0.218707015130674
chapman_test,atrial_fibrillation,temperature_scaled,0.8,0.9,7,0.8050570019558855,0.14285714285714285
chapman_test,atrial_fibrillation,temperature_scaled,0.9,1.0,0,,
ptbxl_external,atrial_fibrillation,raw,0.0,0.1,1827,0.013952901944674329,0.0038314176245210726
ptbxl_external,atrial_fibrillation,raw,0.1,0.2,94,0.13843735240425534,0.010638297872340425
ptbxl_external,atrial_fibrillation,raw,0.2,0.30000000000000004,35,0.24230735885714283,0.0
ptbxl_external,atrial_fibrillation,raw,0.30000000000000004,0.4,19,0.3518293805263158,0.05263157894736842
ptbxl_external,atrial_fibrillation,raw,0.4,0.5,18,0.4553945266666667,0.1111111111111111
ptbxl_external,atrial_fibrillation,raw,0.5,0.6000000000000001,12,0.5540450483333333,0.16666666666666666
ptbxl_external,atrial_fibrillation,raw,0.6000000000000001,0.7000000000000001,15,0.6609304013333331,0.13333333333333333
ptbxl_external,atrial_fibrillation,raw,0.7000000000000001,0.8,30,0.7521935463333336,0.43333333333333335
ptbxl_external,atrial_fibrillation,raw,0.8,0.9,118,0.8630929391525425,0.8135593220338984
ptbxl_external,atrial_fibrillation,raw,0.9,1.0,30,0.9096428773333333,0.9333333333333333
ptbxl_external,atrial_fibrillation,temperature_scaled,0.0,0.1,1392,0.05328909467144858,0.0021551724137931034
ptbxl_external,atrial_fibrillation,temperature_scaled,0.1,0.2,379,0.13992701725390014,0.0079155672823219
ptbxl_external,atrial_fibrillation,temperature_scaled,0.2,0.30000000000000004,132,0.24271660396620712,0.015151515151515152
ptbxl_external,atrial_fibrillation,temperature_scaled,0.30000000000000004,0.4,54,0.33884680653032007,0.0
ptbxl_external,atrial_fibrillation,temperature_scaled,0.4,0.5,36,0.4477992412675088,0.08333333333333333
ptbxl_external,atrial_fibrillation,temperature_scaled,0.5,0.6000000000000001,22,0.5525372014412044,0.13636363636363635
ptbxl_external,atrial_fibrillation,temperature_scaled,0.6000000000000001,0.7000000000000001,52,0.6558816172543268,0.5384615384615384
ptbxl_external,atrial_fibrillation,temperature_scaled,0.7000000000000001,0.8,131,0.7462683151531199,0.8396946564885496
ptbxl_external,atrial_fibrillation,temperature_scaled,0.8,0.9,0,,
ptbxl_external,atrial_fibrillation,temperature_scaled,0.9,1.0,0,,
chapman_test,atrial_flutter,raw,0.0,0.1,3062,0.011100574532427826,0.0
chapman_test,atrial_flutter,raw,0.1,0.2,100,0.14061618666,0.01
chapman_test,atrial_flutter,raw,0.2,0.30000000000000004,58,0.24406529327586204,0.034482758620689655
chapman_test,atrial_flutter,raw,0.30000000000000004,0.4,34,0.3539726279411765,0.058823529411764705
chapman_test,atrial_flutter,raw,0.4,0.5,22,0.44712893227272726,0.09090909090909091
chapman_test,atrial_flutter,raw,0.5,0.6000000000000001,22,0.5499992918181819,0.18181818181818182
chapman_test,atrial_flutter,raw,0.6000000000000001,0.7000000000000001,14,0.651773042857143,0.14285714285714285
chapman_test,atrial_flutter,raw,0.7000000000000001,0.8,21,0.762001093809524,0.23809523809523808
chapman_test,atrial_flutter,raw,0.8,0.9,80,0.8739683917500001,0.575
chapman_test,atrial_flutter,raw,0.9,1.0,924,0.9392722699675324,0.803030303030303
chapman_test,atrial_flutter,temperature_scaled,0.0,0.1,2971,0.020084441465148303,0.0
chapman_test,atrial_flutter,temperature_scaled,0.1,0.2,160,0.14185928844301005,0.0
chapman_test,atrial_flutter,temperature_scaled,0.2,0.30000000000000004,69,0.2493120509154403,0.014492753623188406
chapman_test,atrial_flutter,temperature_scaled,0.30000000000000004,0.4,48,0.351698572197858,0.0625
chapman_test,atrial_flutter,temperature_scaled,0.4,0.5,28,0.44659524318003646,0.10714285714285714
chapman_test,atrial_flutter,temperature_scaled,0.5,0.6000000000000001,25,0.5464519115400751,0.16
chapman_test,atrial_flutter,temperature_scaled,0.6000000000000001,0.7000000000000001,17,0.6508108781888843,0.11764705882352941
chapman_test,atrial_flutter,temperature_scaled,0.7000000000000001,0.8,29,0.758001389952839,0.3793103448275862
chapman_test,atrial_flutter,temperature_scaled,0.8,0.9,536,0.8788759941106958,0.7611940298507462
chapman_test,atrial_flutter,temperature_scaled,0.9,1.0,454,0.9193395092647969,0.8237885462555066
ptbxl_external,atrial_flutter,raw,0.0,0.1,1696,0.0179566007025967,0.0005896226415094339
ptbxl_external,atrial_flutter,raw,0.1,0.2,107,0.14371737387850467,0.0
ptbxl_external,atrial_flutter,raw,0.2,0.30000000000000004,57,0.24376324438596492,0.0
ptbxl_external,atrial_flutter,raw,0.30000000000000004,0.4,34,0.34802772176470587,0.0
ptbxl_external,atrial_flutter,raw,0.4,0.5,26,0.4450046665384616,0.0
ptbxl_external,atrial_flutter,raw,0.5,0.6000000000000001,24,0.55284357,0.0
