dataset,class_name,display_name,category,group,count,positive_count,prevalence,sensitivity,specificity,precision,f1,average_precision,roc_auc
ptbxl_external,atrial_fibrillation,Atrial fibrillation,target_label_scope,At least one target label,2051,152,0.07411019015114578,0.5131578947368421,0.9963138493944181,0.9176470588235294,0.6582278481012658,0.8413625134772107,0.9775158670768549
ptbxl_external,atrial_fibrillation,Atrial fibrillation,target_label_scope,No target label,147,0,0.0,0.0,0.9659863945578231,0.0,0.0,,
ptbxl_external,atrial_flutter,Atrial flutter,sex,Female,1066,2,0.001876172607879925,1.0,0.9154135338345865,0.021739130434782608,0.0425531914893617,0.03492063492063492,0.9492481203007519
ptbxl_external,atrial_flutter,Atrial flutter,sex,Male,1132,5,0.00441696113074205,0.8,0.9077196095829636,0.037037037037037035,0.07079646017699115,0.0463564246075962,0.8417036379769299
ptbxl_external,atrial_flutter,Atrial flutter,age,0-39,284,0,0.0,0.0,0.9929577464788732,0.0,0.0,,
ptbxl_external,atrial_flutter,Atrial flutter,age,40-59,641,0,0.0,0.0,0.9734789391575663,0.0,0.0,,
ptbxl_external,atrial_flutter,Atrial flutter,age,60-79,933,5,0.0053590568060021436,0.8,0.9127155172413793,0.047058823529411764,0.08888888888888889,0.06801103437326349,0.8303879310344828
ptbxl_external,atrial_flutter,Atrial flutter,age,80+ (includes privacy-coded 90+),340,2,0.0058823529411764705,1.0,0.7218934911242604,0.020833333333333332,0.04081632653061224,0.023348236462990564,0.8165680473372782
ptbxl_external,atrial_flutter,Atrial flutter,signal_quality,Annotated signal issue,528,2,0.003787878787878788,1.0,0.8783269961977186,0.030303030303030304,0.058823529411764705,0.14215686274509803,0.9809885931558936
ptbxl_external,atrial_flutter,Atrial flutter,signal_quality,No annotated issue,1670,5,0.0029940119760479044,0.8,0.9219219219219219,0.029850746268656716,0.05755395683453238,0.021685173546463325,0.8353153153153152
ptbxl_external,atrial_flutter,Atrial flutter,target_label_scope,At least one target label,2051,7,0.0034129692832764505,0.8571428571428571,0.9192759295499021,0.03508771929824561,0.06741573033707865,0.03699324937569471,0.8716801789208835
ptbxl_external,atrial_flutter,Atrial flutter,target_label_scope,No target label,147,0,0.0,0.0,0.8027210884353742,0.0,0.0,,
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,sex,Female,1066,48,0.0450281425891182,0.125,0.9528487229862476,0.1111111111111111,0.11764705882352941,0.0917874153695674,0.618553536345776
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,sex,Male,1132,29,0.02561837455830389,0.13793103448275862,0.9483227561196736,0.06557377049180328,0.08888888888888889,0.06389641814802234,0.6687091630975084
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,0-39,284,31,0.10915492957746478,0.1935483870967742,0.83399209486166,0.125,0.1518987341772152,0.1609885162156376,0.5675124314675507
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,40-59,641,19,0.029641185647425898,0.05263157894736842,0.9662379421221865,0.045454545454545456,0.04878048780487805,0.0364286665350734,0.5724318835674395
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,60-79,933,18,0.01929260450160772,0.1111111111111111,0.9595628415300547,0.05128205128205128,0.07017543859649122,0.030547424882329866,0.5681238615664845
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,80+ (includes privacy-coded 90+),340,9,0.026470588235294117,0.1111111111111111,0.9848942598187311,0.16666666666666666,0.13333333333333333,0.08460075301681477,0.7304464585431353
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,signal_quality,Annotated signal issue,528,25,0.04734848484848485,0.08,0.9602385685884692,0.09090909090909091,0.0851063829787234,0.08366434946606932,0.6455666003976144
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,signal_quality,No annotated issue,1670,52,0.031137724550898204,0.15384615384615385,0.9474660074165636,0.08602150537634409,0.1103448275862069,0.07738233180272455,0.6424954835029001
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,target_label_scope,At least one target label,2051,77,0.03754266211604096,0.12987012987012986,0.9478216818642351,0.08849557522123894,0.10526315789473684,0.0745816881108558,0.6296398636824169
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,target_label_scope,No target label,147,0,0.0,0.0,0.9863945578231292,0.0,0.0,,
ptbxl_external,sinus_bradycardia,Sinus bradycardia,sex,Female,1066,27,0.025328330206378986,0.9629629629629629,0.8642925890279115,0.15568862275449102,0.26804123711340205,0.14288239737183958,0.9192956190068798
ptbxl_external,sinus_bradycardia,Sinus bradycardia,sex,Male,1132,37,0.03268551236749117,1.0,0.8091324200913242,0.15040650406504066,0.26148409893992935,0.13647929540120224,0.9020609650746636
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,0-39,284,11,0.03873239436619718,1.0,0.7985347985347986,0.16666666666666666,0.2857142857142857,0.2282606411130752,0.927072927072927
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,40-59,641,23,0.0358814352574103,1.0,0.8074433656957929,0.1619718309859155,0.2787878787878788,0.13885898449218034,0.8919023497959757
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,60-79,933,24,0.02572347266881029,0.9583333333333334,0.8382838283828383,0.13529411764705881,0.23711340206185566,0.12063786790957266,0.900944261092776
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,80+ (includes privacy-coded 90+),340,6,0.01764705882352941,1.0,0.9131736526946108,0.17142857142857143,0.2926829268292683,0.19544159544159545,0.9590818363273452
ptbxl_external,sinus_bradycardia,Sinus bradycardia,signal_quality,Annotated signal issue,528,14,0.026515151515151516,0.9285714285714286,0.8482490272373541,0.14285714285714285,0.24761904761904763,0.15071950775198495,0.9027237354085604
ptbxl_external,sinus_bradycardia,Sinus bradycardia,signal_quality,No annotated issue,1670,50,0.029940119760479042,1.0,0.8320987654320988,0.15527950310559005,0.26881720430107525,0.13615137231684504,0.9115617283950617
ptbxl_external,sinus_bradycardia,Sinus bradycardia,target_label_scope,At least one target label,2051,64,0.031204290589956118,0.984375,0.8399597382989431,0.16535433070866143,0.28314606741573034,0.14782702244914522,0.9134648653749371
ptbxl_external,sinus_bradycardia,Sinus bradycardia,target_label_scope,No target label,147,0,0.0,0.0,0.782312925170068,0.0,0.0,,
ptbxl_external,sinus_rhythm,Sinus rhythm,sex,Female,1066,796,0.7467166979362101,0.8140703517587939,0.7444444444444445,0.9037656903765691,0.8565763384005287,0.9267775138089324,0.8216731807184068
ptbxl_external,sinus_rhythm,Sinus rhythm,sex,Male,1132,878,0.7756183745583038,0.7403189066059226,0.7874015748031497,0.9232954545454546,0.8217446270543616,0.9255974677303501,0.7938093017416104
ptbxl_external,sinus_rhythm,Sinus rhythm,age,0-39,284,229,0.8063380281690141,0.7379912663755459,0.6181818181818182,0.8894736842105263,0.8066825775656324,0.9118095421919433,0.7397379912663756
ptbxl_external,sinus_rhythm,Sinus rhythm,age,40-59,641,535,0.8346333853354134,0.7757009345794392,0.6509433962264151,0.918141592920354,0.8409321175278622,0.9343135987342175,0.7654910950449656
ptbxl_external,sinus_rhythm,Sinus rhythm,age,60-79,933,722,0.7738478027867095,0.7936288088642659,0.7914691943127962,0.9286871961102107,0.8558625840179238,0.9397675848540308,0.8250252720851767
ptbxl_external,sinus_rhythm,Sinus rhythm,age,80+ (includes privacy-coded 90+),340,188,0.5529411764705883,0.75,0.8618421052631579,0.8703703703703703,0.8057142857142857,0.8762277432710598,0.8466195408734603
ptbxl_external,sinus_rhythm,Sinus rhythm,signal_quality,Annotated signal issue,528,384,0.7272727272727273,0.7552083333333334,0.7638888888888888,0.8950617283950617,0.8192090395480226,0.9080880093876701,0.7985387731481484
ptbxl_external,sinus_rhythm,Sinus rhythm,signal_quality,No annotated issue,1670,1290,0.7724550898203593,0.7813953488372093,0.7657894736842106,0.918869644484959,0.844574780058651,0.9305575198274868,0.8081028151774785
ptbxl_external,sinus_rhythm,Sinus rhythm,target_label_scope,At least one target label,2051,1674,0.8161872257435397,0.7753882915173238,0.830238726790451,0.9530102790014684,0.855072463768116,0.9561229792052428,0.8323937011367489
ptbxl_external,sinus_rhythm,Sinus rhythm,target_label_scope,No target label,147,0,0.0,0.0,0.5986394557823129,0.0,0.0,,
ptbxl_external,sinus_tachycardia,Sinus tachycardia,sex,Female,1066,49,0.04596622889305816,0.9387755102040817,0.9803343166175025,0.696969696969697,0.8,0.8487017454417127,0.9909096381915597
ptbxl_external,sinus_tachycardia,Sinus tachycardia,sex,Male,1132,33,0.029151943462897525,0.9393939393939394,0.9854413102820746,0.6595744680851063,0.775,0.8665082642073487,0.9960294482587476
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,0-39,284,7,0.02464788732394366,1.0,0.9963898916967509,0.875,0.9333333333333333,0.9999999999999998,1.0
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,40-59,641,21,0.0327613104524181,0.9047619047619048,0.9903225806451613,0.76,0.8260869565217391,0.8962868305275269,0.9942396313364056
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,60-79,933,29,0.031082529474812434,0.9655172413793104,0.9734513274336283,0.5384615384615384,0.691358024691358,0.7710807218065328,0.9940875801037534
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,80+ (includes privacy-coded 90+),340,25,0.07352941176470588,0.92,0.9841269841269841,0.8214285714285714,0.8679245283018868,0.9078813570154269,0.9912380952380953
ptbxl_external,sinus_tachycardia,Sinus tachycardia,signal_quality,Annotated signal issue,528,21,0.03977272727272727,0.9523809523809523,0.9842209072978304,0.7142857142857143,0.8163265306122449,0.7708384515834407,0.9913590682821453
ptbxl_external,sinus_tachycardia,Sinus tachycardia,signal_quality,No annotated issue,1670,61,0.03652694610778443,0.9344262295081968,0.9825978868862648,0.6705882352941176,0.7808219178082192,0.8681650012521296,0.9942332575981415
ptbxl_external,sinus_tachycardia,Sinus tachycardia,target_label_scope,At least one target label,2051,82,0.039980497318381276,0.9390243902439024,0.9862874555611986,0.7403846153846154,0.8279569892473119,0.9120175347017451,0.9949584412045237
ptbxl_external,sinus_tachycardia,Sinus tachycardia,target_label_scope,No target label,147,0,0.0,0.0,0.9387755102040817,0.0,0.0,,
