dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,sinus_arrhythmia,raw,0.5,0.6000000000000001,251,0.5489131814342629,0.099601593625498
chapman_test,sinus_arrhythmia,raw,0.6000000000000001,0.7000000000000001,226,0.6515493282300885,0.08849557522123894
chapman_test,sinus_arrhythmia,raw,0.7000000000000001,0.8,254,0.7481969382283464,0.1062992125984252
chapman_test,sinus_arrhythmia,raw,0.8,0.9,316,0.8534010467088607,0.18037974683544303
chapman_test,sinus_arrhythmia,raw,0.9,1.0,309,0.9441280511003236,0.3074433656957929
chapman_test,sinus_arrhythmia,temperature_scaled,0.0,0.1,1249,0.049515584636489696,0.0008006405124099279
chapman_test,sinus_arrhythmia,temperature_scaled,0.1,0.2,415,0.13724115180658866,0.0024096385542168677
chapman_test,sinus_arrhythmia,temperature_scaled,0.2,0.30000000000000004,400,0.25753595489537046,0.01
chapman_test,sinus_arrhythmia,temperature_scaled,0.30000000000000004,0.4,586,0.3505377924269739,0.005119453924914676
chapman_test,sinus_arrhythmia,temperature_scaled,0.4,0.5,509,0.4468644836906747,0.047151277013752456
chapman_test,sinus_arrhythmia,temperature_scaled,0.5,0.6000000000000001,407,0.5467331961347923,0.09582309582309582
chapman_test,sinus_arrhythmia,temperature_scaled,0.6000000000000001,0.7000000000000001,374,0.6471893037762464,0.10427807486631016
chapman_test,sinus_arrhythmia,temperature_scaled,0.7000000000000001,0.8,347,0.7489376185734827,0.1930835734870317
chapman_test,sinus_arrhythmia,temperature_scaled,0.8,0.9,188,0.840430845107726,0.2712765957446808
chapman_test,sinus_arrhythmia,temperature_scaled,0.9,1.0,40,0.926797025045721,0.7
ptbxl_external,sinus_arrhythmia,raw,0.0,0.1,281,0.023418476466761564,0.0
ptbxl_external,sinus_arrhythmia,raw,0.1,0.2,85,0.15559800883529415,0.011764705882352941
ptbxl_external,sinus_arrhythmia,raw,0.2,0.30000000000000004,91,0.24813200615384615,0.01098901098901099
ptbxl_external,sinus_arrhythmia,raw,0.30000000000000004,0.4,99,0.351442517979798,0.020202020202020204
ptbxl_external,sinus_arrhythmia,raw,0.4,0.5,91,0.4511401154945055,0.03296703296703297
ptbxl_external,sinus_arrhythmia,raw,0.5,0.6000000000000001,174,0.5549698588505748,0.028735632183908046
ptbxl_external,sinus_arrhythmia,raw,0.6000000000000001,0.7000000000000001,257,0.6515409939299611,0.042801556420233464
ptbxl_external,sinus_arrhythmia,raw,0.7000000000000001,0.8,354,0.7518249881920905,0.05084745762711865
ptbxl_external,sinus_arrhythmia,raw,0.8,0.9,488,0.8489689994057377,0.0389344262295082
ptbxl_external,sinus_arrhythmia,raw,0.9,1.0,278,0.9313288021582733,0.06115107913669065
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.0,0.1,176,0.05114050536912062,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.1,0.2,81,0.1415784768164445,0.0
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.2,0.30000000000000004,85,0.2508438366569676,0.011764705882352941
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.30000000000000004,0.4,144,0.35058309055000614,0.013888888888888888
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.4,0.5,161,0.4513194539509559,0.024844720496894408
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.5,0.6000000000000001,351,0.5545368299529614,0.037037037037037035
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.6000000000000001,0.7000000000000001,515,0.6510759681142689,0.05242718446601942
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.7000000000000001,0.8,520,0.7447458664873998,0.03653846153846154
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.8,0.9,159,0.8318219420921092,0.05660377358490566
ptbxl_external,sinus_arrhythmia,temperature_scaled,0.9,1.0,6,0.9247437944549827,0.3333333333333333
chapman_test,atrial_fibrillation,raw,0.0,0.1,3427,0.004365336163854683,0.0
chapman_test,atrial_fibrillation,raw,0.1,0.2,74,0.14095395278378378,0.02702702702702703
chapman_test,atrial_fibrillation,raw,0.2,0.30000000000000004,62,0.2536163141935483,0.0
