dataset,class_name,margin,near_threshold_count,near_threshold_fraction,fraction_of_all_errors_near_threshold,error_rate_near_threshold,error_rate_away_from_threshold
chapman_test,sinus_bradycardia,0.2,55,0.012181616832779624,0.36764705882352944,0.45454545454545453,0.009641255605381167
chapman_test,sinus_rhythm,0.01,9,0.0019933554817275745,0.018957345971563982,0.4444444444444444,0.045938748335552594
chapman_test,sinus_rhythm,0.02,14,0.0031007751937984496,0.02843601895734597,0.42857142857142855,0.045545434347922686
chapman_test,sinus_rhythm,0.05,32,0.0070874861572535995,0.061611374407582936,0.40625,0.04416685255409324
chapman_test,sinus_rhythm,0.1,68,0.015060908084163898,0.12796208530805686,0.39705882352941174,0.041376208680009
chapman_test,sinus_rhythm,0.15,107,0.023698781838316724,0.21800947867298578,0.42990654205607476,0.037431941923774956
chapman_test,sinus_rhythm,0.2,144,0.03189368770764119,0.2796208530805687,0.4097222222222222,0.034774651109585906
chapman_test,sinus_tachycardia,0.01,4,0.0008859357696566999,0.015873015873015872,0.25,0.013744180891154955
chapman_test,sinus_tachycardia,0.02,5,0.0011074197120708748,0.015873015873015872,0.2,0.013747228381374724
chapman_test,sinus_tachycardia,0.05,22,0.0048726467331118494,0.19047619047619047,0.5454545454545454,0.01135099042955709
chapman_test,sinus_tachycardia,0.1,43,0.009523809523809525,0.30158730158730157,0.4418604651162791,0.009838998211091235
chapman_test,sinus_tachycardia,0.15,58,0.012846068660022148,0.36507936507936506,0.39655172413793105,0.008974646623289208
chapman_test,sinus_tachycardia,0.2,139,0.03078626799557032,0.6031746031746031,0.2733812949640288,0.005712979890310786
ptbxl_external,atrial_fibrillation,0.01,11,0.005004549590536852,0.046511627906976744,0.36363636363636365,0.037494284407864654
ptbxl_external,atrial_fibrillation,0.02,20,0.009099181073703366,0.09302325581395349,0.4,0.03581267217630854
ptbxl_external,atrial_fibrillation,0.05,41,0.0186533212010919,0.22093023255813954,0.4634146341463415,0.031061659712563746
ptbxl_external,atrial_fibrillation,0.1,94,0.042766151046405826,0.43023255813953487,0.39361702127659576,0.02328897338403042
ptbxl_external,atrial_fibrillation,0.15,130,0.059144676979071886,0.5465116279069767,0.36153846153846153,0.018858800773694392
ptbxl_external,atrial_fibrillation,0.2,148,0.06733393994540492,0.6395348837209303,0.3716216216216216,0.015121951219512195
ptbxl_external,atrial_flutter,0.01,3,0.001364877161055505,0.010256410256410256,0.6666666666666666,0.08792710706150342
ptbxl_external,atrial_flutter,0.02,10,0.004549590536851683,0.035897435897435895,0.7,0.08592321755027423
ptbxl_external,atrial_flutter,0.05,27,0.012283894449499545,0.08205128205128205,0.5925925925925926,0.08245048364808844
ptbxl_external,atrial_flutter,0.1,62,0.028207461328480437,0.21025641025641026,0.6612903225806451,0.07209737827715355
ptbxl_external,atrial_flutter,0.15,139,0.0632393084622384,0.5692307692307692,0.7985611510791367,0.04079650315687227
ptbxl_external,atrial_flutter,0.2,231,0.10509554140127389,0.9948717948717949,0.8398268398268398,0.0005083884087442806
ptbxl_external,sinus_arrhythmia,0.01,73,0.033212010919017286,0.20348837209302326,0.4794520547945205,0.06447058823529411
ptbxl_external,sinus_arrhythmia,0.02,155,0.0705186533212011,0.37790697674418605,0.41935483870967744,0.05237395986294665
ptbxl_external,sinus_arrhythmia,0.05,339,0.15423111919927207,0.6627906976744186,0.336283185840708,0.031199569661108123
ptbxl_external,sinus_arrhythmia,0.1,601,0.2734303912647862,0.7151162790697675,0.20465890183028287,0.030682529743268627
ptbxl_external,sinus_arrhythmia,0.15,836,0.38034576888080074,0.7732558139534884,0.1590909090909091,0.028634361233480177
ptbxl_external,sinus_arrhythmia,0.2,1005,0.4572338489535942,0.8197674418604651,0.14029850746268657,0.025984911986588432
ptbxl_external,sinus_bradycardia,0.01,6,0.00272975432211101,0.011396011396011397,0.6666666666666666,0.1583029197080292
ptbxl_external,sinus_bradycardia,0.02,9,0.004094631483166515,0.017094017094017096,0.6666666666666666,0.1576062128825948
ptbxl_external,sinus_bradycardia,0.05,21,0.009554140127388535,0.03418803418803419,0.5714285714285714,0.155718879191548
ptbxl_external,sinus_bradycardia,0.1,41,0.0186533212010919,0.06267806267806268,0.5365853658536586,0.15252665739452945
ptbxl_external,sinus_bradycardia,0.15,57,0.025932666060054597,0.08547008547008547,0.5263157894736842,0.14992993928070994
ptbxl_external,sinus_bradycardia,0.2,76,0.034576888080072796,0.1168091168091168,0.5394736842105263,0.1460885956644675
ptbxl_external,sinus_rhythm,0.01,9,0.004094631483166515,0.004008016032064128,0.2222222222222222,0.22704431247144816
ptbxl_external,sinus_rhythm,0.02,13,0.005914467697907188,0.004008016032064128,0.15384615384615385,0.22745995423340962
ptbxl_external,sinus_rhythm,0.05,33,0.015013648771610554,0.022044088176352707,0.3333333333333333,0.22540415704387992
ptbxl_external,sinus_rhythm,0.1,61,0.027752502274795268,0.052104208416833664,0.4262295081967213,0.2213383247543285
ptbxl_external,sinus_rhythm,0.15,101,0.045950864422202004,0.09018036072144289,0.44554455445544555,0.21649976156413925
ptbxl_external,sinus_rhythm,0.2,135,0.061419472247497726,0.12625250501002003,0.4666666666666667,0.21134270479883666
ptbxl_external,sinus_tachycardia,0.01,3,0.001364877161055505,0.0,0.0,0.01867881548974943
ptbxl_external,sinus_tachycardia,0.02,4,0.0018198362147406734,0.024390243902439025,0.25,0.018231540565177756
ptbxl_external,sinus_tachycardia,0.05,9,0.004094631483166515,0.0975609756097561,0.4444444444444444,0.016902695294655094
ptbxl_external,sinus_tachycardia,0.1,14,0.006369426751592357,0.14634146341463414,0.42857142857142855,0.016025641025641024
ptbxl_external,sinus_tachycardia,0.15,20,0.009099181073703366,0.21951219512195122,0.45,0.014692378328741965
ptbxl_external,sinus_tachycardia,0.2,40,0.018198362147406732,0.4634146341463415,0.475,0.010194624652455977
